municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
7025,Chiapas,Chapultenango,0.015696618,0,0,0,41.7,2.9,22.8,29,6.306640548
7026,Chiapas,Chenalhó,0.736652112,20.90592334,18.29268293,24.3902439,37.5,2.7,1.9,78,4.375649045
7027,Chiapas,Chiapa de Corzo,-0.631067116,0.601684717,0.216076059,5.586592179,32.4,2.3,17.2,636,6.039589962
7028,Chiapas,Chiapilla,-0.223544366,0,0,0,30.4,2.7,7.4,51,6.180675896
7029,Chiapas,Chicoasén,-0.64827489,0,0,0,34,2.6,17.2,42,7.152824576
7030,Chiapas,Chicomuselo,-0.166947358,0.505816894,0,1.449275362,34.7,2.8,14.9,330,5.67510295
7031,Chiapas,Chilón,0.790213274,4.374240583,0,6.622516556,42.4,2.8,7.4,2014,4.40233151
7032,Chiapas,Escuintla,-0.244387937,1.516300227,2.320185615,0,35.6,2.9,20.7,380,6.014320316
7033,Chiapas,Francisco León,0.028528743,8,0,8,43.9,2.9,13.6,10,4.927598147
7034,Chiapas,Frontera Comalapa,-0.602704808,0.39793076,0,1.445086705,33.8,2.6,14.2,990,5.844873604
7035,Chiapas,Frontera Hidalgo,-0.46845392,0,0,0,34.8,2.6,21.4,65,6.46093469
7036,Chiapas,La Grandeza,-0.09616206,5.988023952,0,5.988023952,39.6,3.3,13,43,5.976799242
7037,Chiapas,Huehuetán,-0.242575894,0.626566416,0.846023689,0,34.4,2.7,16.3,198,6.146676503
7038,Chiapas,Huixtán,0.499799065,0,0,0,41,3,3.7,142,5.613964114
7039,Chiapas,Huitiupán,0.227413006,3.891050584,0,25.97402597,36.5,3,15.7,142,5.738507306
7040,Chiapas,Huixtla,-0.592161868,1.057827927,0.501253133,2.378121284,34,2.5,18.8,270,6.253995857
7041,Chiapas,La Independencia,-0.186493268,1.079913607,0,4.823151125,31.5,2.6,10.7,202,6.155618221
7042,Chiapas,Ixhuatán,-0.166581531,0,0,0,34.1,3,10.7,44,5.037213727
7043,Chiapas,Ixtacomitán,-0.440667551,1.754385965,0,7.092198582,37.8,2.6,21,30,5.345764166
7044,Chiapas,Ixtapa,-0.118739634,1.576044129,0,22.22222222,36.9,2.5,11.6,324,5.851581605
7045,Chiapas,Ixtapangajoya,-0.050046787,0,0,0,36.8,2.7,11.2,19,5.889382074
7046,Chiapas,Jiquipilas,-0.548958216,1.386962552,0,3.976143141,31.7,2.7,18.5,209,6.055177849
7047,Chiapas,Jitotol,-0.054815704,4.255319149,0,200,34.9,3,23.3,289,5.518456761
7048,Chiapas,Juárez,-0.536677846,0,0,0,34.4,2.7,19.5,103,6.275799887
7049,Chiapas,Larráinzar,0.449487955,0,0,0,39.6,3.1,3.6,65,4.384719525
7050,Chiapas,La Libertad,-0.568833474,0,0,0,31.1,2.4,25.5,24,5.984937403
7051,Chiapas,Mapastepec,-0.409598342,1.5625,1.693480102,1.353179973,34.7,2.7,16.7,1234,6.277241259
7052,Chiapas,Las Margaritas,0.205017429,0.375610367,0,0.781860829,34.4,2.7,8.1,1266,5.556584899
7053,Chiapas,Mazapa de Madero,-0.203730681,1.655629139,0,1.655629139,35.6,3.1,13.7,227,6.259351255
7054,Chiapas,Mazatán,-0.249896056,0,0,0,32.1,2.7,16.9,171,6.037399162
7055,Chiapas,Metapa,-0.638308722,0,0,0,33.7,2.5,20.7,39,7.213960637
7056,Chiapas,Mitontic,0.777428305,14.08450704,0,14.08450704,32.7,3.2,-6,24,5.709078054
7057,Chiapas,Motozintla,-0.317579376,1.200480192,0,2.485089463,38,2.8,18.7,1270,6.401209007
7058,Chiapas,Nicolás Ruíz,-0.0377,6.756756757,6.756756757,0,30.3,3.1,7.4,97,5.916627753
7059,Chiapas,Ocosingo,0.267003803,1.975668088,0.893655049,3.480855296,38.6,2.8,16.4,5600,4.817343938
7060,Chiapas,Ocotepec,0.665731756,14.92537313,0,142.8571429,37.2,3.4,13.9,27,5.426894127
7061,Chiapas,Ocozocoautla de Espinosa,-0.362584126,1.116569897,1.124543154,1.08577633,34.7,2.6,14.3,1431,6.13683886
7062,Chiapas,Ostuacán,-0.091490508,0.884955752,0,1.893939394,37.2,2.8,15.8,144,5.515809892
7063,Chiapas,Osumacinta,-0.677933333,0,0,0,33.8,2.7,12.6,26,6.810797804
7064,Chiapas,Oxchuc,0.496396166,1.331557923,1.557632399,1.162790698,39.4,3,14.7,559,4.755759207
7065,Chiapas,Palenque,-0.147258248,0.887536452,0.455269747,1.431024614,36.9,2.6,25.1,1036,5.636084459
7066,Chiapas,Pantelhó,0.901100933,8.888888889,5.952380952,17.54385965,38,3,5.6,38,5.278837125
7067,Chiapas,Pantepec,0.267859963,0,0,0,35.5,3,12.1,69,5.487368024
7068,Chiapas,Pichucalco,-0.576536625,0,0,0,35.5,2.5,18.8,125,5.761421959
7069,Chiapas,Pijijiapan,-0.397608237,1.941747573,2.590673575,1.293661061,31.9,2.7,17.3,307,5.822624653
7070,Chiapas,El Porvenir,0.012422892,3.322259136,0,3.322259136,39.3,3.2,17.9,143,6.608935783
7071,Chiapas,Villa Comaltitlán,-0.140777304,0,0,0,35.9,2.9,19.6,122,6.013430824
7072,Chiapas,Pueblo Nuevo Solistahuacán,0.185790623,1.926782274,1.022494888,16.66666667,36.2,2.9,10.3,251,5.189534305
7073,Chiapas,Rayón,-0.03537094,0,0,0,36.4,3.1,17.6,40,5.682731253
7074,Chiapas,Reforma,-0.884770165,0,0,0,32.5,2.5,19.6,354,6.466920537
7075,Chiapas,Las Rosas,0.089293482,0.676589986,0.875656743,0,32.5,2.7,7.6,241,5.597456692
7076,Chiapas,Sabanilla,0.257056744,6.053268765,3.115264798,7.920792079,37,2.9,17.7,213,5.637839628
7077,Chiapas,Salto de Agua,0.271929073,1.335559265,0,1.95599022,39.6,2.8,20.1,676,5.335146599
7078,Chiapas,San Cristóbal de las Casas,-0.628607245,0.705032167,0.725163162,0,37.4,2.1,16.1,2590,5.860721816
7079,Chiapas,San Fernando,-0.50387967,0,0,0,30.3,2.6,12.6,171,6.27224789
7080,Chiapas,Siltepec,0.023844192,0.920810313,0,1.148765078,38.5,3,23.2,464,5.776817583
7081,Chiapas,Simojovel,0.273561905,7.299270073,4.127966976,31.49606299,39.1,2.8,17.8,267,5.067119005
7082,Chiapas,Sitalá,1.351265857,3.278688525,0,3.278688525,37,2.7,6.3,162,4.280038271
7083,Chiapas,Socoltenango,-0.305071737,0.893655049,1.76056338,0,32.6,2.5,11.6,488,6.587430981
7084,Chiapas,Solosuchiapa,-0.361775846,5,0,5,36.5,2.9,25,23,5.350619909
7085,Chiapas,Soyaló,-0.370748634,0,0,0,34,2.6,10.5,166,6.088701266
7086,Chiapas,Suchiapa,-0.610467574,1.316655695,0.684931507,16.94915254,31.9,2.4,15.9,240,5.891310518
7087,Chiapas,Suchiate,-0.268606955,0,0,0,34,2.6,16.7,267,5.812117164
